GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
team02,edu.ucsb.cs156.example.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
team02,edu.ucsb.cs156.example.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
team02,edu.ucsb.cs156.example.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
team02,edu.ucsb.cs156.example.services,SystemInfoServiceImpl,0,24,0,0,0,8,0,3,0,3
team02,edu.ucsb.cs156.example.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
team02,edu.ucsb.cs156.example.controllers,ApiController,0,24,0,0,0,7,0,5,0,5
team02,edu.ucsb.cs156.example.controllers,UCSBDiningCommonsController,0,141,0,0,0,31,0,10,0,10
team02,edu.ucsb.cs156.example.controllers,RecommendationRequestController,0,99,0,0,0,22,0,8,0,8
team02,edu.ucsb.cs156.example.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
team02,edu.ucsb.cs156.example.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
team02,edu.ucsb.cs156.example.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
team02,edu.ucsb.cs156.example.controllers,UCSBDatesController,0,119,0,0,0,25,0,10,0,10
team02,edu.ucsb.cs156.example.errors,EntityNotFoundException,0,17,0,0,0,3,0,1,0,1
